id,question,letter,answer,img
228,W MS SQL Server predefiniowana rola o nazwie dbcreator pozwala użytkownikowi na,C,tworzenie modyfikowanie usuwanie i odzyskiwanie bazy danych,0
229,Aby odebrać prawa dostępu do serwera MySQL należy posłużyć się instrukcją,D,REVOKE,0
230,Za pomocą polecenia BACKUP LOG w MS SQL Server można,C,wykonać kopię bezpieczeństwa dziennika transakcyjnego,0
231,Polecenie DBCC CHECKDB("sklepAGD" Repair_fast) w MS SQL Server,B,sprawdzi spójność bazy danych i naprawi uszkodzone indeksy,0
232,Aby naprawić bazę danych w MySQL należy użyć polecenia,B,REPAIR,0
233,Aby zdefiniować łamanie linii tekstu np. w zmiennej napisowej należy posłużyć się znakiem,C,n,0
234,Dana jest tablica n-elementowa o nazwie t[n]. Zadaniem algorytmu zapisanego w postaci listy kroków jest wypisania sumy,B,co drugiego elementu tablicy,1
235,Interpreter PHP wygeneruje błąd i nie wykona kodu jeżeli programista:,B,nie postawi średnika po wyrażeniu w instrukcji if jeśli po nim nastąpiła sekcja else,0
236,Dana jest tablica o nazwie tab wypełniona liczbami całkowitymi różnymi od zera. Przedstawiony kod zapisany w języku PHP ma za zadanie:,C,zamienić wszystkie elementy tablicy na liczby z przeciwnym znakiem,1
237,Warunek zapisany w JavaScript jest prawdziwy gdy zmienna x przechowuje,D,dowolną dodatnią wartość liczbową,1
238,Przedstawiona funkcja zapisana kodem JavaScript ma za zadanie:,A,zwrócić wynik potęgowania a^n,1
239,Program debugger służy do:,B,analizy wykonywanego programu w celu lokalizacji błędów,0
240,Funkcja phpinfo() pozwala na:,D,uzyskanie informacji o środowisku pracy serwera obsługującego PHP,0
241,Którego języka należy użyć aby zapisać skrypt wykonywany po stronie klienta w przegladarce internetowej?,D,JavaScript,0
242,W języku PHP pobrano z bazy danych wyniki działania kwerendy za pomocą polecenia mysql_query(). Aby otrzymać ze zwróconej kwerendy wierszy danych należy zastosować polecenie:,C,mysql_fetch_row(),0
243,Błędy interpretacji kodu PHP są zapisane:,A,w logu pod warunkiem ustawienia odpowiedniego parametru w pliku php.ini,0
244,Do uruchomienia systemu CMS Joomla! wymagane jest środowisko:,C,Apache PHP i MySQL,0
245,W języku HTML aby uzyskać następujący efekt pogrubienia pochylenia lub zapisania w górnym indeksie należy zapisać kod:,C,<b>pogrubiony </b><i>pochylony</i> lub w <sup>górnym indeksie</sup>,0
246,W kodzie HTML zapisano w bloku tekst formatowany pewnym stylem. Aby wtrącić wewnątrz tekstu kilka słów formatowanych innym stylem należy zastosować znacznik,B,<span>,0
247,Który z zapisów znacznika <meta> jest prawidłowy ze względu na wykorzystane atrybuty?,D,<meta name = "description" content = "Masz jakieś hobby? To jest strona dla Ciebie!">,0
248,Który z wymienionych znaczników należy do części <head> dokumentu HTML?,B,<title>,0
249,W języku CSS poniższy zapis sprawi że koloru zielonego będzie,C,tło tekstu nagłówka drugiego stopnia,1
250,W języku CSS aby formatować tekst poprzez przekreślenie podkreślenie dolne lub górne należy zastosować,D,text-decoration,0
251,W języku CSS poniższy zapis sprawi że kolor żółty przyjmie czcionka,C,odnośników które otwierają sie w osobnej karcie,1
252,W języku CSS poniższy zapis użyty na stronie na której jest kilka paragrafów a każdy z nich ma po kilka linii sprawi że,B,pierwsza linia każdego paragrafu będzie miała większą czcionkę niż następne linie,1
253,Który znacznik lub grupa znaczników nie są stosowane do definiowania struktury strony HTML?,B,<i> <b> <u>,0
254,Który z przedstawionych kodów HTML sformatuje tekst według wzoru? (uwaga: słowo "stacji" jest zapisane większą czcionką niż reszta słów w tej linii),B,B,1
255,Kolor zapisany w postaci szesnastkowej o wartości #11FE07 w kodzie RGB ma postać,D,rgb(172547),0
256,Które ze zdań jest prawdziwe w stosunku do grafiki rastrowej?,D,Jest to prezentacja obrazu za pomocą pionowo-poziomej siatki odpowiednio kolorowanych pikseli na monitorze komputera drukarce lub innym urządzeniu wyjściowym,0
257,Który z formatów grafiki jest najbardziej odpowiedni do zapisu obrazu z przezroczystością na potrzeby strony internetowej?,B,PNG,0
258,W czasie przetwarzania dźwięku aby pozbyć się niechcianych odgłosów spowodowanych złą jakością mikrofonu należy zastosować narzędzie,D,usuwania szumów,0
259,Aby obraz zmieniał się płynnie w filmie liczba klatek (nieprzenikających się wzajemnie) na sekundę musi znajdować się przynajmniej w zakresie,C,24-30 fps,0
260,W poleceniu CREATE TABLE języku SQL atrybut określający która kolumna tabeli jest kluczem podstawowym to,C,PRIMARY KEY,0
261,Dana jest tabela psy o polach: imie rasa telefon_wlasciciela rok_szczepienia. Aby wyszukać telefony właścicieli których psy były szczepione przed 2015 rokiem należy użyć polecenia SQL,C,SELECT telefon_wlasciciela FROM psy WHERE rok_szczepienia < 2015,0
262,Na rysunku została przedstawiona relacja jeden do wielu. Łączy ona,C,klucz obcy rezyserzy_id tabeli filmy z kluczem podstawowym id tabeli rezyserzy,1
263,W bazie danych sklepu spożywczego pod koniec dnia jest tworzony raport wyświetlający te produkty wraz z ich dostawcami dla których stan magazynowy jest mniejszy niż 10 sztuk. Do zdefiniowania tego raportu posłużono się kwerendą,A,SELECT,0
264,Wskaż polecenie SQL dodające pole miesiacSiewu do istniejącej tabeli rosliny,C,ALTER TABLE rosliny ADD miesiacSiewu int,0
265,Polecenie serwera MySQL przedstawione poniżej sprawi że użytkownikowi tkowal zostaną,B,odebrane prawa usuwania i modyfikowania danych w tabeli pracownicy,1
266,W serwerze MySQL nadanie roli o nazwie DBManager przyznaje użytkownikowi prawa umożliwiające,B,wszelkie operacje na bazach danych serwera,0
267,W bazie danych wykonano następujące polecenie dotyczące praw użytkownika adam. Po wykonaniu poleceń użytkownik adam będzie miał prawa do,A,usunięcia tabeli lub jej rekordów,1
268,Wskaż poprawną zasadę dotyczącą spójności danych w bazie danych,B,pole klucza podstawowego nie może być puste,0
269,Aby naprawić uszkodzoną tabelę w MySQL należy wydać polecenie,C,REPAIR TABLE,0
270,W formularzu dane z pola input o typie number zostały zapisane do zmiennej a a następnie przetworzone w skrypcie JavaScript w następujący sposób. Zmienna z będzie typu,C,zmiennoprzecinkowego,1
271,Aby w pliku z rozszerzeniem php umieścić kod w języku PHP należy użyć znaczników,B,<?php .......... ?>,0
272,Ile iteracji będzie miała pętla zapisana w języku PHP zakładając że zmienna sterująca nie jest modyfikowana we wnętrzu pętli?,C,6,1
273,W JavaScript wynik operacji jest równy wartości NaN jeśli skrypt próbował wykonać,B,działanie arytmetyczne a zawartość zmiennej była napisem,0
274,W instrukcji warunkowej języka JavaScript należy sprawdzić przypadek gdy wartość zmiennej a jest z przedziału (0 100) natomiast wartość zmiennej b jest większa od zera. Warunek taki jest prawidłowo zapisany w nastepujący sposób,B,if (a>0 && a<100 && b>0),0
275,Dla dowolnego a z przedziału (099) zadaniem funkcji zapisanej w języku Java Script jest:,D,wypisanie liczb z przedziału a...100 i zwrócenie wartości zmiennej n,1
276,Zapis w języku JavaScript ma za zadanie,C,utworzenie obiektu napis1 klasy napisy,1
277,Aby wykonać kod zapisany językiem PHP wystarczy że w systemie zainstalowano,B,serwer WWW z interpreterem PHP,0
278,Pętla zapisana w języku PHP wstawi do tablicy liczby,C,0 10 20 30 40 50 60 70 80 90,1
279,Wymaganiem aplikacji internetowej jest aby ta była wykonywana po stronie klienta. W którym języku należy zaimplementować tę aplikację?,D,JavaScript,0
280,Zadaniem funkcji PHP o nazwie mysql_num_rows() jest,C,zwrócić liczbę wierszy znajdujących się w wyniku zapytania,0
281,Jaka treść komunikatu powinna być wstawiona w przedstawionym kodzie PHP zamiast znaków zapytania?,B,Błąd połączenia z serwerem SQL,1
282,Testy aplikacji internetowej mające za zadanie sprawdzenie skalowalności aplikacji i bazy danych oraz architektury serwera i konfiguracji noszą nazwę testów,A,kompatybilności,0
283,Aby prawidłowo udokumentować linię kodu języka Java Script należy po znakach // wpisać komentarz,D,w zmiennej x maksymalna wartość ze zmiennych a b c,1
284,Aby stronę WWW można było przesłać do przeglądarki internetowej w postaci zaszyfrowanej należy użyć protokołu,A,HTTPS,0
285,W języku HTML aby uzyskać efekt jak na przykładzie należy zastosować konstrukcję,C,<p><big>Duży tekst</big> zwykły tekst</p>,1
286,Zapis znacznika HTML w postaci,D,jest poprawny po wybraniu odnośnika aktualna strona zostanie przewinięta do elementu o nazwie "hobby",1
287,W części nagłówkowej kodu HTML zapisano tekst przedstawiony na obrazku. Zapisany tekst zostanie wyświetlony,A,na pasku tytułu przeglądarki,1
288,Przeglądarka internetowa wyświetliła stronę w następujący sposób. Wskaż kod HTML który poprawnie definiuje przedstawioną hierarchiczną strukturę tekstu:,D,<h1>Rozdział 1</h1> <p>tekst</p> <h2>Podrozdział 1.1</h2> <p>tekst</p> <h2>Podrozdział 1.2</h2>,1
289,W języku CSS przedstawiony zapis sprawi że plik rysunek.png będzie,B,tłem każdego paragrafu,1
290,W języku CSS aby zdefiniować niestandardowe odstępy między wyrazami stosuje się właściwość,C,word-spacing,0
291,W języku CSS zdefiniowano następujące formatowanie. Oznacza to że kolorem niebieskim zostanie zapisany,B,pochylony tekst paragrafu,1
292,W języku CSS zapis w następującej postaci sprawi iż koloru czerwonego będzie,D,pierwsza litera nagłówka pierwszego stopnia,1
293,W języku HTML informacje dotyczące autora streszczenia i słów kluczowych strony należy umieścić,A,pomiędzy znacznikami <head> i </head> w znaczniku <meta>,0
294,Który z przedstawionych kodów XHTML sformatuje tekst według podanego wzoru?,D,D,1
295,Kolor zapisany kodem RGB o wartości rgb(128 16 8) w postaci szesnastkowej ma wartość,C,#801008,0
296,Które ze zdań opisuje grafikę wektorową?,D,Zapisywany obraz jest opisywany za pośrednictwem figur geometrycznych umieszczonych w układzie współrzędnych,0
297,Aby zbadać rozkład ilościowy poszczególnych kolorów zdjęcia należy użyć,B,histogramu,0
298,W standardzie HDTV jest stosowana rozdzielczość,D,1920 x 1080 px,0
299,Którą klauzulę powinno się zastosować w poleceniu CREATE TABLE języka SQL aby dane pole rekordu nie było puste?,D,NOT NULL,0
300,Polecenie języka SQL w postaci,B,dodaje do tabeli kolumnę o nazwie kod typu text,1
301,W bazie danych hurtowni zdefiniowano tabelę sprzedaz o polach: id kontrahent grupa_cenowa obrot. Aby wyszukać wyłącznie kontrahentów z drugiej grupy cenowej których obrót jest większy niż 4000zł należy zastosować polecenie,C,SELECT kontrahent FROM sprzedaz WHERE grupa_cenowa = 2 AND obrot > 4000;,0
302,Dana jest tabela programiści o polach: id nick ilosc_kodu ocena. Pole ilosc_kodu zawiera liczbę linii kodu napisanych przez programistę w danym miesiącu. Aby policzyć sumę linii kodu który napisali wszyscy programiści należy użyć polecenia,B,SELECT SUM(ilosc_kodu) FROM programisci;,0
303,W instrukcji CREATE TABLE użycie klauzuli PRIMARY KEY przy deklaracji pola tabeli spowoduje że pole to stanie się,D,kluczem podstawowym,0
304,Baza danych księgarni zawiera tabelę ksiazki z polami: id idAutor tytul ileSprzedanych oraz tabelę autorzy z polami: id imie nazwisko. Aby stworzyć raport sprzedanych książek z tytułami i nazwiskami autorów należy,B,Zdefiniować relację 1..n dla tabel ksiazki i autorzy a następnie stworzyć kwerendę łączącą obie tabele,0
305,Istnieje tabela pracownicy z polami: id imie nazwisko pensja. W nowym roku postawiono podnieść pensję wszystkim pracownikom o 100 zł. Aktualizacja ta w bazie danych będzie miała postać,A,UPDATE pracownicy SET pensja = pensja + 100;,0
306,W tabeli artykuly wykonano następujące polecenia dotyczące praw użytkowania jan. Po wykonaniu poleceń użytkownik jan będzie miał prawa do,C,tworzenia tabeli i wypełniania jej danymi,1
307,Aby przywrócić bazę danych MS SQL z kopii bezpieczeństwa należy zastosować polecenie,C,RESTORE DATABASE,0
308,Baza danych MySQL uległa uszkodzeniu. Które z działań NIE pomoże przy jej naprawie?,A,Wykonanie replikacji bazy danych,0
309,W formularzu dane z pola input o typie number zostały zapisane do zmiennej a a następnie przetworzone w skrypcie JavaScript w następujący sposób. Zmienna x będzie typu,D,liczbowego całkowitego,1
310,Wstawki kodu JavaScript w dokumencie HTML mogą się znaleźć,D,zarówno w cześci <head> jak i <body> w znaczniku <script>,0
311,W przedstawonym kodzie JavaScript dla ułatwienia ponumerowano linie. W kodzie znajduje się błąd gdyż po uruchomieniu żaden komunikat nie zostaje wyświetlony. Aby wyeliminować błąd należy,B,wstawić nawiasy klamrowe do sekcji if oraz else,1
312,Ile iteracji będzie miała przedstawiona pętla zapisana w języku PHP zakładając że zmienna sterująca nie jest modyfikowana we wnętrzu pętli?,C,11,1
313,W języku JavaScript metoda document.getElementById(id) ma za zadanie,D,zwrócić odniesienie do pierwszego elementu HTML o podanym id,0
314,W instrukcji warunkowej JavaScript należy sprawdzić przypadek gdy zmienne a oraz b są dodatnie z czego zmienna b jest mniejsza od 100. Warunek taki powinien być zapisany w następujący sposób:,D,if ( a > 0 && b > 0 && b < 100),0
315,Zadaniem przedstawionej funkcji zapisanej w języku JavaScript jest,B,wypisanie liczb parzystych z przedziału od a do b,1
316,Przedstawiony kod został zapisany w języku JavaScript. W podanej definicji obiektu metodą jest element o nazwie,B,oblicz,1
317,Aby uzyskać informacje o środowisku pracy serwera obsługującego PHP należy skorzystać z funkcji,B,phpinfo(),0
318,Fragment kodu w języku PHP wypisze,D,samą nazwę konta czyli "adres",1
319,Do uruchomienia skryptu JavaScript wymagane jest oprogramowanie,D,przeglądarki internetowej,0
320,Zadaniem funkcji PHP o nazwie mysql_select_db() jest,B,określić bazę z której będą pobierane dane,0
321,W przedstawionym kodzie PHP zamiast znaków zapytania powinien pojawić się komunikat:,A,Błąd przetwarzania zapytania,1
322,Testy wydajnościowe mają na celu sprawdzenie,C,stopnia spełnienia wymagań wydajnościowych przez system lub moduł,0
323,Aby prawidłowo udokumentować przedstawioną linię kodu języka JavaScript należy po znakach // wpisać komentarz,D,wyświetlenie daty i czasu w znaczniku o id = napis,1
324,Przekierowanie 301 służące przekierowaniu użytkownika z jednego adresu URL na inny można ustawić w pliku konfiguracji serwera Apache o nazwie,B,.htaccess,0
325,W języku HTML aby zdefiniować słowa kluczowe strony należy użyć zapisu,C,<meta name="keywords" content="psy koty gryzonie">,0
326,W języku HTML zdefiniowano znacznik a. Wartość nofollow atrybutu rel,C,jest informacją dla robota wyszukiwarki Google aby nie podążał za tym linkiem,1
327,W języku HTML aby zdefiniować poziomą linię należy użyć znacznika,D,<hr>,0
328,Zapisano kod HTML wstawiający grafikę na stronę internetową. Jeżeli rysunek.png nie zostanie odnaleziony przeglądarka,B,w miejscu grafiki wypisze tekst "pejzaż",1
329,Aby w języku HTML uzyskać takie formatowanie paragrafu dla tekstu należy zastosować kod,C,<p>Tekst może być <mark>zaznaczony</mark> albo <em>istotny</em> dla autora</p>,1
330,Zamieszczony kod HTML formularza zostanie wyświetlony przez przeglądarkę w sposób:,D,D,1
331,W języku CSS wcięcie pierwszej linii akapitu na 30 pikseli uzyska się za pomocą zapisu,A,p { text-indent: 30px; },0
332,W języku CSS zdefiniowano następujące formatowanie. Kolorem czerwonym zostanie zapisany,A,tylko tekst pochylony nagłówka pierwszego stopnia,1
333,W języku CSS aby sformatować dowolny element języka HTML w ten sposób że po najechaniu na niego kursorem zmienia on kolor czcionki należy zastosować pseudoklasę,B,:hover,0
334,Zapis CSS w takiej postaci sprawi że na stronie internetowej,A,punktorem listy nienumerowanej będzie rys.gif,1
335,W języku CSS aby zdefiniować odmienne formatowanie dla pierwszej litery akapitu należy zastosować selektor,D,pseudoelementu p::first-letter,0
336,W kodzie źródłowym zapisanym w języku HTML wskaż błąd walidacji dotyczący tego fragmentu,D,Znacznik zamykający /b niezgodny z zasadą zagnieżdżania,1
337,W ramce przedstawiono właściwości pliku graficznego. W celu optymalizacji czasu ładowania rysunku na stronę WWW należy,A,zmniejszyć wymiary rysunku,1
338,W programie INKSCAPE / COREL aby uzyskać przedstawiony efekt napisu należy,D,skorzystać z funkcji wstaw / dopasuj tekst do ścieżki,1
339,Programem do edycji dźwięku jest,C,Audacity,0
340,Dana jest tabela pracownicy. Polecenie MySQL usuwające wszystkie rekordy z tabeli dla których nie wypełniono pola rodzaj_umowy ma postać,D,DELETE FROM pracownicy WHERE rodzaj_umowy IS NULL;,0
341,W języku SQL aby stworzyć tabelę należy zastosować polecenie,D,CREATE TABLE,0
342,W przedstawionym fragmencie kwerendy języka SQL komenda SELECT ma za zadanie zwrócić,B,liczbę wierszy,1
343,Dana jest tabela ksiazki z polami: tytul autor (typu tekstowego) cena (typu liczbowego). Aby kwerenda SELECT zwróciła tylko tytuły dla których cena jest mniejsza od 50zł należy zapisać:,B,SELECT tytul FROM ksiazki WHERE cena < 50;,0
344,W bazie danych MYSQL dana jest tabela programów komputerowych o polach: nazwa producent rokWydania. Aby kwerenda SELECT zwróciła wszystkie nazwy producentów tak by nazwy te nie powtarzały się należy zapisać:,B,SELECT DISTINCT producent FROM programy;,0
345,Tabela filmy zawiera klucz główny id oraz klucz obcy rezyserID. Tabela rezyserzy zawiera klucz główny id. Obydwie tabele połączone są relacją jeden po stronie rezyserzy do wielu po stronie filmy. Aby w kwerendzie SELECT połączyć tabele filmy i rezyserzy należy zapisać,C,... filmy JOIN rezyserzy ON filmy.rezyserID = rezyserzy.id ...,0
346,Na rysunku przedstawiono dwie tabele. Aby połączyć je relacją jeden do wielu jeden po stronie Klienci wiele po stronie Zamowienia należy,B,Dodać pole klucza obcego do tabeli Zamowienia i połączyć je z ID tabeli Klienci,1
347,Źródłem rekordów dla raportu może być,A,Tabela,0
348,Przedstawione polecenie MySQL ma za zadanie,D,Zmienić typ kolumny w tabeli ksiazki,1
349,W tabeli podzespoly należy zmienić wartość pola URL na 'toshiba.pl' dla wszystkich rekordów gdzie pole producent to TOSHIBA. W języku SQL modyfikacja będzie miała postać,D,UPDATE podzespoly SET URL='toshiba.pl' WHERE producent='TOSHIBA';,0
350,Do zabezpieczeń serwera bazy danych przed atakami hakerów nie należy,B,Defragmentacja dysków,0
351,W języku MySQL należy zastosować polecenie REVOKE aby użytkownikowi anna odebrać prawo do dokonywania zmian jedynie w definicji struktury bazy danych. Polecenie odpowiadające odebraniu tych praw ma postać,B,REVOKE CREATE ALTER DROP ON tabela1 FROM 'anna'@'localhost',0
352,W języku JavaScript aby sprawdzić warunek czy liczba znajduje się w przedziale (100;200> należy zapisać:,C,if (liczba > 100 && liczba <= 200),0
353,W wyniku działania pętli zapisanej w języku PHP zostanie wypisany ciąg liczb,A,10 15 20 25 30 35 40 45,1
354,Które z poniższych zdań dotyczących zasad programowania w języku PHP jest prawdziwe?,A,Jest to język o słabej kontroli typów,0
355,W języku PHP instrukcja foreach jest instrukcją,C,Pętli wyłącznie dla elementów tablicy,0
356,Funkcją języka PHP tworzącą ciasteczko jest,D,setcookie(),0
357,W języku PHP funkcja trim ma za zadanie,D,Usuwać białe znaki lub inne znaki podane w parametrze z obu końców napisu,0
358,W języku JavaScript zapis w ramce oznacza że,C,zmienna x będzie przechowywać wynik działania metody nazwa,1
359,W języku JavaScript zapisano następującą funkcję. Ma ona za zadanie,D,Zwrócić wartość bezwzględną z f,1
360,Za pomocą języka PHP nie jest możliwe,D,Zmienianie dynamiczne zawartości strony HTML w przeglądarce,0
361,Działaniem przedstawionego kodu PHP będzie wypełnienie tablicy,C,10 losowymi wartościami a następnie wypisanie wartości ujemnych,1
362,W języku JavaScript zapisano fragment kodu. Po wykonaniu skryptu zmienna x,C,Będzie równa 11 i zostanie wypisana w konsoli przeglądarki internetowej,1
363,W języku PHP wykonując operacje na bazie danych MySQL aby zakończyć pracę z bazą należy wywołać,B,mysqli_close();,0
364,W ramce przedstawiono kod JavaScript z błędem logicznym. Program powinien wypisywać informację czy liczby są sobie równe czy nie lecz nie wykonuje tego. Wskaż odpowiedź która dotyczy błędu,C,W klauzuli if występuje przypisanie zamiast porównania,1
365,Która z zasad tworzenia części <head> języka HTML jest poprawna?,B,W części <head> mogą wystąpić znaczniki <meta> <title> <link>,0
366,W języku HTML znacznik <strong>tekst</strong> będzie wyświetlany w ten sam sposób przez przeglądarkę co znacznik,A,<b>tekst</b>,0
367,Aby strona WWW była responsywna należy między innymi definiować,B,rozmiary obrazów w procentach,0
368,W języku HTML aby zapisać sekcję cytatu która może zawierać kilka paragrafów tak by przeglądarka dodała wspólne wcięcie należy zastosować znacznik,D,<blockquote>,0
369,W języku CSS wartości underline overline blink przyjmują atrybut,D,text-decoration,0
370,W przedstawionej definicji stylu CSS powtarzanie dotyczy,C,rysunku umieszczonego w tle strony w pionie,1
371,W języku CSS zdefiniowano styl. Sformatowana stylem sekcja będzie zawierała obramowanie o szerokości,C,2 px oraz marginesy na zewnątrz tego obramowania,1
372,Strona HTML definiuje akapit oraz rysunek. Aby rysunek został umieszczony przez przeglądarkę w tej samej linii co akapit po jego lewej stronie należy w stylu CSS rysunku zawrzeć własność,A,float:left;,0
373,W języku CSS określono formatowanie znacznika h1 według wzoru. Zakładając że żadne inne formatowanie nie jest dodane do znacznika h1 wskaż sposób formatowania tego znacznika,C,C,1
374,Aby przygotować szablon strony z trzema kolumnami ustawionymi obok siebie można posłużyć się stylem CSS,A,A,1
375,Przedstawiono fragment kodu HTML który się poprawnie. Błąd walidacji tego fragmentu kodu będzie dotyczył,A,Braku cudzysłowu,1
376,Modelem barw opisującym kolor z użyciem stożka przestrzeni barw jest,B,HSV,0
377,Rozmycie Gaussa wygładzanie szum RGB są funkcjami programu do obróbki,A,Grafiki rastrowej,0
378,Aby edytować nakładające się na siebie pojedyncze fragmenty obrazu pozostawiając pozostałe elementy niezmienione należy zastosować,A,Warstwy,0
379,W języku SQL wykorzystywanym przez bazę danych MySQL atrybut UNIQUE polecenia CREATE TABLE,D,Jest stosowany jeśli wartość w kolumnie nie mogą się powtarzać,0
380,Funkcja agregująca MIN języka SQL ma za zadanie policzyć,B,Wartość minimalną kolumny zwróconej kwerendą,0
381,Dana jest tabela o nazwie wycieczki z polami: nazwa cena miejsca (jako liczba wolnych miejsc). Aby dla dowolnego zbioru danych tabeli wyświetlić jedynie nazwy tych wycieczek dla których cena jest niższa niż 2000 zł i mają przynajmniej cztery wolne miejsca należy posłużyć się zapytaniem,A,SELECT nazwa FROM wycieczki WHERE cena < 2000 AND miejsca > 3;,0
382,Dana jest tabela o nazwie przedmioty z polami: ocena i uczenID. Aby policzyć średnią ocen ucznia o ID równym 7 należy posłużyć się zapytaniem,B,SELECT AVG(ocena) FROM przedmioty WHERE uczenID = 7;,0
383,Tabela o nazwie naprawy zawiera pola: klient czyNaprawione. Aby usunąć te rekordy w których pole czyNaprawione jest prawdą należy posłużyć się poleceniem,C,DELETE FROM naprawy WHERE czyNaprawione = TRUE;,0
384,Formularz nadrzędny wykorzystywany do nawigacji w bazie danych pomiędzy dostępnymi w systemie formularzami kwerendami jest nazywany formularzem,B,sterującym,0
385,W bazie danych sklepu komputerowego istnieje tabela komputery. Aby zdefiniować raport wyświetlający dla dowolnego zbioru danych tabeli jedynie pola tabeli dla komputerów w których jest nie mniej niż 8 GB pamięci a procesor to Intel można posłużyć sie kwerendą,D,SELECT * FROM komputery WHERE procesor = "Intel" AND pamiec >= 8;,0
386,Za pomocą polecenia ALTER TABLE można,B,zmienić strukturę tabeli,0
387,W języku SQL wykorzystywanym przez bazę danych MySQL w tabeli samochody aby nadać wartość równą 0 dla kolumny przebieg należy posłużyć się kwerendą,A,UPDATE samochody SET przebieg = 0;,0
388,Przedstawione polecenie SQL użytkownikowi adam@localhost nadaje prawa,B,manipulowania danymi w tabeli klienci,1
389,W języku JavaScript przedstawiona definicja jest definicją,B,tablicy,1
390,Dla każdej iteracji pętli wartość bieżącego elementu tablicy jest przypisywana do zmiennej a wskaźnik tablicy jest przesuwany o jeden aż do ostatniego elementu tablicy. Zdanie to jest prawdziwe dla instrukcji,D,foreach,0
391,Wskaż zapisany w języku JavaScript warunek który ma sprawdzić spełnienie z przypadków: 1) dowolna naturalna liczba a jest trzycyfrowa 2) dowolna całkowita liczba b jest ujemna,B,((a>99) && (a<1000)) || (b<0),0
392,Którą czynność gwarantującą poprawne wykonanie przedstawionego kodu JavaScript należy wykonać przed pętlą?,B,Zainicjować zmienną text,1
393,Hermetyzacja to zasada programowania obiektowego mówiąca o tym że,B,pola i metody wykorzystywane tylko przez daną klasę/obiekt są ograniczone zasięgiem private lub protected,0
394,Przedstawiono fragment JavaScript. Po jego wykonaniu zmienna str2 będzie przechowywać,A,vaSc,1
395,Który ze sposobów wypisania tekstu zdefiniowany w języku JavaScript?,C,Funkcja MessageBox(),0
396,Funkcja JavaScript powinna być wywołana za każdym razem gdy użytkownik wpisze dowolny znak do pola edycji. Którego zdarzenia należy użyć?,C,onkeydown,0
397,Która z wymienionych funkcji zapisanych językiem PHP zwraca sumę połowy a i połowy b,C,function licz($a $b) {return $a/2 + $b/2;},0
398,W języku JavaScript zapisano definicję obiektu. Aby odwołać się do własności nazwisko należy zapisać,C,osoba.nazwisko,1
399,W języku PHP zapisano fragment kodu. Plik cookie stworzony tym poleceniem,A,zostanie usunięty po jednym dniu od jego utworzenia,1
400,W języku PHP zapisano fragment kodu. Po zakończeniu pętli zmienna a przyjmie wartość,D,20,1
401,W języku JavaScript aby zmienić wartość atrybutu znacznika HTML po uzyskaniu obiektu za pomocą metody getElementById należy skorzystać z,C,metody setAttribute,0
402,W języku JavaScript zapisano kod którego wynikiem działania jest,D,wyświetlenie okna z polem edycyjnym w którym jest wpisany domyślny tekst "Adam",1
403,W języku PHP zapisano fragment kodu działającego na bazie MySQL. Jego zadaniem jest wypisanie,C,miasta i kodu pocztowego z pierwszego zwróconego rekordu,1
404,Który sposób komentowania jednoliniowego jest dozwolony w języku JavaScript?,C,//,0
405,Znaczniki <header> <article> <section> <footer> są charakterystyczne dla języka,A,HTML 5,0
406,Przy użyciu którego znacznika w języku HTML nie można umieścić na stronie grafiki dynamicznej?,B,<strike>,0
407,Które ze znaczników HTML umożliwią wyświetlenie na stronie tekstu w jednym wierszu jeżeli żadne formatowanie CSS nie zostało zdefiniowane?,D,<span>Dobre strony </span><span style="letter-spacing:3px">mojej strony</span>,1
408,W języku HTML atrybut shape znacznika area określający typ obszaru może przyjąć wartość,D,rect poly circle,0
409,Wskaż prawidłową kolejność stylów CSS mając na uwadze ich pierwszeństwo w formatowaniu elementów strony WWW.,A,Lokalny Wewnętrzny Zewnętrzny,0
410,W folderze www znajdują się podfoldery html i style w których zapisane są odpowiednio pliki z rozszerzeniem html i pliki z rozszerzeniem css. Chcąc dołączyć styl.css do pliku HTML należy użyć,D,<link rel="Stylesheet" type="text/css" href="/../style/styl.css" />,0
411,Chcąc zdefiniować marginesy wewnętrzne dla danych: margines górny 50px dolny 40px prawy 20px i lewy 30px należy użyć składni CSS,B,padding: 50px 20px 40px 30px;,0
412,Chcąc sformatować w stylach CSS wszystkie obrazy zawarte w akapicie powinno się użyć selektora,A,p img,0
413,Który z atrybutów background-attachment w języku CSS należy wybrać aby tło strony było nieruchome względem okna przeglądarki?,B,Fixed,0
414,Barwa zapisana w modelu RGB(255 0 0) jest,D,czerwona,0
415,Połączenie dwóch barw leżących po przeciwnych stronach w kole barw jest połączeniem,C,dopełniającym,0
416,Model barw oparty na 3 parametrach: odcień nasycenie i jasność to,B,HSV,0
417,Który z wymienionych formatów plików NIE JEST wykorzystywany do publikacji grafiki lub animacji na stronach internetowych?,D,AIFF,0
418,Aby stworzyć przycisk na stronę internetową według wzoru należy w programie do grafiki rastrowej użyć opcji,D,zaokrąglenie lub wybranie opcji prostokąt z zaokrąglonymi rogami,1
419,Pierwszym krokiem podczas przetwarzania sygnału analogowego na cyfrowy jest,A,próbkowanie,0
